nodeId,name,scenarioCode,scenarioNameZh,content,knowledgeType,category,difficulty
cmqcb9gun000nv4uadvt4lued,二进制数、八进制、十进制、十六进制,ONLINE_COURSE,学科课程在线学习,<p>如何改进第4题，用程序实现“十进制转k进制”(2≤k≤16)。</p>,,输入函数、输出函数、整数、二进制数、八进制、十进制、十六进制、基数、数位、赋值语句、关系运算符、函数定义、函数调用、if语句、连缀的if-elif-else,LOW
cmogleqdf002sq18ocvws6npj,互联网应用的数据传输,SHOW_CASE,展示场景,1. 客户端请求访问资源-服务器响应-客户端接收  ---  【网页】 方法一： 客户端请求访问资源-服务器响应-客户端接收  教材页码：浙教版《信息科技》八年级上-30,网页,互联网应用中的数据,MEDIUM
cmogleqdc002rq18oilcc8cvc,人工智能辅助创作,SHOW_CASE,展示场景,1. 向人工智能输入文本-生成对应的插图  ---  【海报】 方法一： 向人工智能输入文本-生成对应的插图  教材页码：浙教版《信息科技》三年级下54,海报,智能辅助创作,MEDIUM
cmouwzn41000380l3a5fb88vj,人机信任度,SHOW_CASE,展示场景,,,,
cmogleqbp002bq18o4jciqvnz,优化市花数字名片,SHOW_CASE,展示场景,"1. ""打开已创建的""""市花数字名片""""文档 选择""""设计""""选项卡（或""""页面布局""""选项卡） 点击""""页面颜色""""，选择一种与市花相配的背景色 选择""""插入""""选项卡，点击""""形状"""" 从形状库中选择一个简单的图形（如圆形、椭圆形） 在文档中绘制形状，作为市花图片的装饰边框 右键点击形状，选择""""设置形状格式"""" 在""""形状填充""""中选择与市花颜色相配的颜色 在""""形状轮廓""""中选择合适的颜色和宽度 保存优化后的文档""  ---  【数字名片】 方法一： 打开已创建的""市花数字名片""文档 选择""设计""选项卡（或""页面布局""选项卡） 点击""页面颜色""，选择一种与市花相配的背景色 选择""插入""选项卡，点击""形状"" 从形状库中选择一个简单的图形（如圆形、椭圆形） 在文档中绘制形状，作为市花图片的装饰边框 右键点击形状，选择""设置形状格式"" 在""形状填充""中选择与市花颜色相配的颜色 在""形状轮廓""中选择合适的颜色和宽度 保存优化后的文档  教材页码：浙教版小学信息科技三年级下册——60",数字名片,数字作品设计与制作,HIGH
cmogleq6e0011q18ostwhhr7y,使动画与讲解内容同步,SHOW_CASE,展示场景,"1. ""为每个要点添加动画 设置动画开始方式为""""单击时"""" 演示时根据讲解内容单击播放动画""  ---  【PowerPoint】 方法一： 为每个要点添加动画 设置动画开始方式为""单击时"" 演示时根据讲解内容单击播放动画",PPT,动画效果与过渡效果,MEDIUM
cmogleq750015q18oyuqlf8n1,使用演讲者视图,SHOW_CASE,展示场景,"1. ""点击""""幻灯片放映""""选项卡 点击""""设置幻灯片放映"""" 选择""""演讲者视图"""" 点击""""确定""""""  ---  【PowerPoint】 方法一： 点击""幻灯片放映""选项卡 点击""设置幻灯片放映"" 选择""演讲者视图"" 点击""确定""",PPT,幻灯片的放映与演示,MEDIUM
cmogleq2l0005q18ouskrqj64,使用设计模板创建,SHOW_CASE,展示场景,"1. ""打开PowerPoint 选择""""文件""""→""""新建"""" 在""""新建""""选项卡中选择""""模板"""" 从模板库中选择一个模板 点击""""创建""""按钮""  ---  【PowerPoint】 方法一： 打开PowerPoint 选择""文件""→""新建"" 在""新建""选项卡中选择""模板"" 从模板库中选择一个模板 点击""创建""按钮",PPT,幻灯片基本操作,LOW
cmogleq7m0019q18ou5lwj91j,保存文档,SHOW_CASE,展示场景,"1. ""点击左上角""""文件""""菜单 选择""""保存""""或""""另存为"""" 在弹出的窗口中，选择保存位置（如D盘的""""Word""""文件夹） 在""""文件名""""框中输入文档名称（如""""我的练习""""） 点击""""保存""""按钮"" 2. 使用快捷键：Ctrl + S（保存）或Ctrl + Shift + S（另存为）  ---  【Word】 方法一： 点击左上角""文件""菜单 选择""保存""或""另存为"" 在弹出的窗口中，选择保存位置（如D盘的""Word""文件夹） 在""文件名""框中输入文档名称（如""我的练习""） 点击""保存""按钮  方法二： 使用快捷键：Ctrl + S（保存）或Ctrl + Shift + S（另存为）",Word,Word基础操作,LOW
cmogleqcq002kq18ocuzn9koj,修改图表,SHOW_CASE,展示场景,1. 修改图表标题-修改图表样式  ---  【海报】 方法一： 修改图表标题-修改图表样式  教材页码：浙教版《信息科技》四年级上32-33,海报,图表呈现,MEDIUM
cmqcb9gxc0012v4uahjogtb09,元组,ONLINE_COURSE,学科课程在线学习,"<img src=""https://coding-platform.oss-cn-beijing.aliyuncs.com/%E6%B5%B7%E5%AE%81%E4%B8%AD%E5%AD%A6/3.2%E5%88%86%E6%94%AF%E7%BB%93%E6%9E%84/if1.png""><p>编写Python程序，实现以下功能：根据各班上学期的产量和管理得分计算总分，总分高者获得续包权。</p>",,元组、浮点数、赋值语句、关系运算符、输出函数、if语句、有分支的条件语句,MEDIUM
cmqcb9gx70011v4ua8bnahbi6,八进制,ONLINE_COURSE,学科课程在线学习,"<p>利用栈可以解决十进制数转其他进制数的问题。 在解决这类问题之前，先观察如何将十进制数 1237 转成八进制数的过程。首先将 1237除以8得到商154和余数5，然后继续将商 154 除以8得到商19和余数2，继续重复此操作，直到商为0为止， 最后将余数按如图3 -12所示方向依次读取 ，即可得到转换结果 2325。根据以上转换思想和计算过程，现有如下 Python 程序段，实现了将十进制数a转换为b进制数，请补全划线处的代码。</p><img src=""http://coding-platform.oss-cn-beijing.aliyuncs.com/12/10.png"">",,十进制、八进制、整数、赋值语句、乘号重复序列、列表、列表元素赋值、字符串、拆分字符串函数split()、while循环、while循环语法格式,MEDIUM
cmqcb9gua000lv4ua951b0du2,关系运算符,ONLINE_COURSE,学科课程在线学习,<p>如果得知今天的气温是79华氏度，那么你可以用刚学习的python的算术运算，计算出对应的摄氏度气温吗？</p><p></p><p>如果反过来，摄氏度转换成华氏度要怎么做呢？</p>,,输入函数、输出函数、赋值语句、关系运算符、浮点数、整数、float()函数,LOW
cmouwznad000a80l3bicnfsoc,兴趣稳定性,SHOW_CASE,展示场景,,,,
cmqcb9gy30016v4uatphh7kag,函数定义,ONLINE_COURSE,学科课程在线学习,"""<p>这是一段测试内容</p>""",,函数定义,MEDIUM
cmqcb9gvp000tv4ua7i51ndln,函数的定义,ONLINE_COURSE,学科课程在线学习,"<p>换位密码（列换位）加密技术是将明文按固定长m（秘钥长度）分组,即每行m个字母，在密钥控制下排列成矩阵，最后根据秘钥的字典序按列优先的顺序依次读出，即为密文，加密过程如下图所示。<br>例如：输入字符串“helloworld”，m为4，则输出密文为“holewdlolr”</p ><img src=""https://coding-platform.oss-cn-beijing.aliyuncs.com/12/14.png ""><br><img src=""https://coding-platform.oss-cn-beijing.aliyuncs.com/12/15.png "">",,输入函数、输出函数、字符、关系运算符、赋值语句、整数、int()函数、ASCII码、函数的定义、函数的调用、关键字参数、for...in循环、range()函数、while循环、while循环语法格式、len()、计算序列的长度和最值,LOW
cmqcb9gt2000ev4uai8ye7oi8,函数的调用,ONLINE_COURSE,学科课程在线学习,<p>(1)连接传感器、控制板与计算机。<br>(2)开IDE程序，新建一个编辑界面，并输入代码，保存文件。<br>(3)单击“烧录”按钮，将程序上传到控制板，打开串口调试工具，即查看串口数据。</p>,,丰富的库、赋值语句、布尔值、while循环、while循环语法格式、输出函数、函数的调用,MEDIUM
cmogleqbv002dq18ozekt6jp4,分享市花数字名片,SHOW_CASE,展示场景,"1. ""打开""""市花数字名片""""文档 点击""""文件""""→""""另存为"""" 选择""""PDF""""格式，点击""""保存"""" 在""""分享""""功能中，点击""""生成分享"""" 在弹出的窗口中，设置链接权限为""""可查看"""" 分享作品，添加文字说明：""""这是我制作的XX市花数字名片"""" 发送消息给老师和同学 在班级群中分享，邀请同学查看和评价""  ---  【数字名片】 方法一： 打开""市花数字名片""文档 点击""文件""→""另存为"" 选择""PDF""格式，点击""保存"" 在""分享""功能中，点击""生成分享"" 在弹出的窗口中，设置链接权限为""可查看"" 分享作品，添加文字说明：""这是我制作的XX市花数字名片"" 发送消息给老师和同学 在班级群中分享，邀请同学查看和评价  教材页码：浙教版小学信息科技三年级下册——61",数字名片,在线协作与分享,MEDIUM
cmogleq340008q18ob0z5j3mr,切换幻灯片,SHOW_CASE,展示场景,"1. ""在左侧幻灯片缩略图窗格中，单击要切换到的幻灯片 或使用方向键（←、→）在幻灯片间切换""  ---  【PowerPoint】 方法一： 在左侧幻灯片缩略图窗格中，单击要切换到的幻灯片 或使用方向键（←、→）在幻灯片间切换",PPT,幻灯片基本操作,LOW
cmqcb9gvw000uv4ua7qajfzro,列表,ONLINE_COURSE,学科课程在线学习,"<p>杨辉三角，是二项式系数在三角形中的一种几何排列，在我国南宋数学家杨辉1261年所编写的《详解九章算法》一书中出现。我们可以把杨辉三角看作这样的图形：最左侧一列数字和右边的斜边数字均为1，内部其他位置上的每个数字均为上一行同一列的数字与上一行前一列数字之和，前10行的杨辉三角如图所示。<br>实现输出该图形的代码如下，在程序划线处填入适当的语句或表达式，将程序补充完整。</p><img src=""http://coding-platform.oss-cn-beijing.aliyuncs.com/12/8.png"">",,输入函数、整数、int()函数、输出函数、关系运算符、赋值语句、for...in循环、range()函数、列表、追加函数append(),LOW
cmqcb9gxi0013v4uanypyknjw,列表、关系运算符,ONLINE_COURSE,学科课程在线学习,"<p><strong>有一组学生体检数据，体重与身高依次对应存储在w、h两个列表中。</strong></p><p>w=[52,49,82,63,45.5,39.5,61]</p><p>h=[1.65,1.61,1.81,1.72,1.59,1.55,1.73]</p><p><strong>求该组学生的平均体重及BMI在标准范围[18.5～23.9]的人数。</strong></p>",,列表、赋值语句、输出函数、整数、浮点数、if语句、有分支的条件语句、关系运算符、逻辑运算符、for...in循环、range()函数、len()、计算序列的长度和最值,MEDIUM
cmouwzn9g000980l3tbfly20n,创新能力,SHOW_CASE,展示场景,,,,
cmogleq380009q18odaxl7j15,删除幻灯片,SHOW_CASE,展示场景,"1. ""选中要删除的幻灯片 按Delete键"" 2. 右键单击幻灯片，选择""删除幻灯片""  ---  【PowerPoint】 方法一： 选中要删除的幻灯片 按Delete键  方法二： 右键单击幻灯片，选择""删除幻灯片""",PPT,幻灯片基本操作,LOW
cmogleq89001fq18op2bvuj2s,删除文本,SHOW_CASE,展示场景,1. Delete 键：删除光标 后面 的一个字符 2. Backspace 键：删除光标前面的一个字符 3. 先 选择 文本，再按 Delete 或 Backspace 键：删除选中的所有文本  ---  【Word】 方法一： Delete 键：删除光标 后面 的一个字符  方法二： Backspace 键：删除光标前面的一个字符  方法三： 先 选择 文本，再按 Delete 或 Backspace 键：删除选中的所有文本,Word,文字输入与编辑,LOW
cmogleq82001dq18ojtprbjb4,剪切文本,SHOW_CASE,展示场景,"1. ""选择 要移动的文本。 点击 开始 选项卡 -> 剪贴板 组 -> 剪切 按钮 (剪刀图标)"" 2. 快捷键 Ctrl + X 3. 在选中的文本上 右键单击 -> 选择 剪切  ---  【Word】 方法一： 选择 要移动的文本。 点击 开始 选项卡 -> 剪贴板 组 -> 剪切 按钮 (剪刀图标)  方法二： 快捷键 Ctrl + X  方法三： 在选中的文本上 右键单击 -> 选择 剪切",Word,文字输入与编辑,LOW
cmqcb9gu2000jv4uasemrti4t,加号连接两个序列,ONLINE_COURSE,学科课程在线学习,<p>对于整数，我们可以像数学中一样直接相加，或者其他加减乘除；</p><p>那么如果对字符做“加法”会发生什么呢？如果字符中存储的是数字又会怎么样？</p>,,输出函数、字符串、加号连接两个序列,MEDIUM
cmogleq90001mq18olx52je6u,加粗、倾斜、下划线,SHOW_CASE,展示场景,"1. ""选中需要设置的文字 点击""""开始""""选项卡 在""""字体""""组中，点击相应按钮： 加粗：B 倾斜：I 下划线：U"" 2. ""使用快捷键： 加粗：Ctrl + B 倾斜：Ctrl + I 下划线：Ctrl + U""  ---  【Word】 方法一： 选中需要设置的文字 点击""开始""选项卡 在""字体""组中，点击相应按钮： 加粗：B 倾斜：I 下划线：U  方法二： 使用快捷键： 加粗：Ctrl + B 倾斜：Ctrl + I 下划线：Ctrl + U",Word,文字格式设置,MEDIUM
cmouwzn8d000780l3xywmeguz,协作能力,SHOW_CASE,展示场景,,,,
cmogleqer0036q18op5tg7nkr,发布作品,SHOW_CASE,展示场景,1. 选择发布途径-确定作品材质-确定作品形式-确定面向人群  ---  【视频】 方法一： 选择发布途径-确定作品材质-确定作品形式-确定面向人群  教材页码：浙教版《信息科技》三年级下39-42,视频,创作发布作品,HIGH
cmogleqav0022q18ozqylrcvl,合并单元格,SHOW_CASE,展示场景,"1. ""选中需要合并的单元格 右键点击选中的单元格 选择""""合并单元格"""""" 2. 点击""布局""选项卡，点击""合并单元格""按钮  ---  【Word】 方法一： 选中需要合并的单元格 右键点击选中的单元格 选择""合并单元格""  方法二： 点击""布局""选项卡，点击""合并单元格""按钮",Word,表格操作,MEDIUM
cmogleq780016q18odxa9hovj,启动（通过开始菜单、桌面快捷方式等）,SHOW_CASE,展示场景,"1. ""点击屏幕左下角的""""开始""""按钮 在程序列表中找到""""Microsoft Word""""或""""WPS Office""""，点击打开"" 2. 在桌面上双击Word的快捷图标  ---  【Word】 方法一： 点击屏幕左下角的""开始""按钮 在程序列表中找到""Microsoft Word""或""WPS Office""，点击打开  方法二： 在桌面上双击Word的快捷图标",Word,Word基础操作,LOW
cmoglepyo0000q18omqin7jhh,启动PowerPoint,SHOW_CASE,展示场景,1. 通过开始菜单：点击Windows开始按钮 → 在程序列表中找到Microsoft PowerPoint → 单击启动 2. 通过桌面快捷方式：双击桌面上的PowerPoint图标  ---  【PowerPoint】 方法一： 通过开始菜单：点击Windows开始按钮 → 在程序列表中找到Microsoft PowerPoint → 单击启动  方法二： 通过桌面快捷方式：双击桌面上的PowerPoint图标,PPT,PowerPoint界面与启动退出,LOW
cmogleqd3002oq18oars9n561,图像处理,SHOW_CASE,展示场景,1. 打开画图软件/照片编辑器-上传图像-选择裁剪功能-确定裁剪范围-保存裁剪结果  ---  【海报】 方法一： 打开画图软件/照片编辑器-上传图像-选择裁剪功能-确定裁剪范围-保存裁剪结果  教材页码：浙教版《信息科技》三年级下27-28,海报,处理图像素材,MEDIUM
cmogleqcf002hq18oml4p0bag,图像格式,SHOW_CASE,展示场景,1. BMP、JPEG、PNG图像格式的区别  ---  【海报】 方法一： BMP、JPEG、PNG图像格式的区别  教材页码：浙教版《信息科技》四年级下7-9,海报,海报,MEDIUM
cmogleqct002lq18oz1yymbl7,图像格式转换,SHOW_CASE,展示场景,1. 打开格式转换软件-选择图像格式-开始转换  ---  【海报】 方法一： 打开格式转换软件-选择图像格式-开始转换  教材页码：浙教版《信息科技》三年级下 11-12,海报,媒体文件类型,MEDIUM
cmogleq9o001tq18ojl1dlq5z,图片格式设置（大小、旋转、裁剪）,SHOW_CASE,展示场景,"1. ""点击图片，图片周围会出现控制点 拖动控制点可以调整图片大小 右键点击图片，选择""""设置图片格式"""" 在弹出的窗口中，可以调整图片的亮度、对比度、裁剪等""  ---  【Word】 方法一： 点击图片，图片周围会出现控制点 拖动控制点可以调整图片大小 右键点击图片，选择""设置图片格式"" 在弹出的窗口中，可以调整图片的亮度、对比度、裁剪等",Word,图片与图形处理,MEDIUM
cmogleq3c000aq18ovosvwwly,在占位符中输入文字,SHOW_CASE,展示场景,"1. ""单击幻灯片上的占位符（如标题、正文） 输入文字内容""  ---  【PowerPoint】 方法一： 单击幻灯片上的占位符（如标题、正文） 输入文字内容",PPT,文字内容编辑,MEDIUM
cmogleqbs002cq18o66j24cxb,在线协作制作市花数字名片,SHOW_CASE,展示场景,"1. ""打开""""市花数字名片""""文档 点击文档右上角的""""分享""""按钮 为同学分配任务（如""""请添加市花的象征意义""""） 邀请同学加入协作 同学收到邀请后加入协作 同学在文档中添加自己的内容 协作过程中，可以使用评论功能进行交流 完成后，保存文档，点击""""分享""""按钮，生成分享链接 将分享链接复制到聊天窗口，发送给老师和同学""  ---  【数字名片】 方法一： 打开""市花数字名片""文档 点击文档右上角的""分享""按钮 为同学分配任务（如""请添加市花的象征意义""） 邀请同学加入协作 同学收到邀请后加入协作 同学在文档中添加自己的内容 协作过程中，可以使用评论功能进行交流 完成后，保存文档，点击""分享""按钮，生成分享链接 将分享链接复制到聊天窗口，发送给老师和同学  教材页码：浙教版小学信息科技三年级下册——59",数字名片,在线协作与分享,MEDIUM
cmnzmxqzu0004gy8o5xenzc8o,基本标签,SHOW_CASE,展示场景,创建html文档-设置文档头部-定义文档主体  ---  【网页】 方法一： 创建html文档-设置文档头部-定义文档主体  教材页码：浙教版《信息科技》八年级上-37,网页,html常用标签,MEDIUM
cmqcb9gs30009v4ua0m6pm4tl,基本的条件语句,ONLINE_COURSE,学科课程在线学习,使用规模分解的方法寻找最短路线，我们已经找到了第一段路线的最短距离，接下来请你完成找到第二段路线最短距离的程序。<br /> <br /> <br /> <strong>示例</strong>：<br /> 输入：（无输入）<br /> 输出：Smin2= 30<br /> <br />,,输入函数、int()函数、输出函数、整数、关系运算符、if语句、基本的条件语句、赋值语句,LOW
cmogleqdp002vq18ozd4sskq1,声音数字化,SHOW_CASE,展示场景,1. 声音采集（麦克风、录音机、声卡），将声音经采样、量化和编码后转换为数字音频  ---  【视频】 方法一： 声音采集（麦克风、录音机、声卡），将声音经采样、量化和编码后转换为数字音频  教材页码：浙教版《信息科技》四年级下16-18,视频,声音编码,MEDIUM
cmogleq7z001cq18op27l67cj,复制文本,SHOW_CASE,展示场景,"1. ""用上述方法 选择 要复制的文本。 点击 开始 选项卡 -> 剪贴板 组 -> 复制 按钮 (两张纸图标)"" 2. 快捷键 Ctrl + C 3. 在选中的文本上 右键单击 -> 选择 复制  ---  【Word】 方法一： 用上述方法 选择 要复制的文本。 点击 开始 选项卡 -> 剪贴板 组 -> 复制 按钮 (两张纸图标)  方法二： 快捷键 Ctrl + C  方法三： 在选中的文本上 右键单击 -> 选择 复制",Word,文字输入与编辑,LOW
cmnzmxrhr0008gy8odzq0fz2v,多媒体,SHOW_CASE,展示场景,添加图像-设定图像大小-添加音乐  ---  【网页】 方法一： 添加图像-设定图像大小-添加音乐  教材页码：浙教版《信息科技》八年级上-37,网页,html常用标签,MEDIUM
cmogleq3k000cq18ozga4hyax,字体、字号设置,SHOW_CASE,展示场景,"1. ""选中文本 在""""开始""""选项卡的""""字体""""组中，选择所需字体和字号""  ---  【PowerPoint】 方法一： 选中文本 在""开始""选项卡的""字体""组中，选择所需字体和字号",PPT,文字内容编辑,MEDIUM
cmogleq8o001jq18odajxmuuy,字体设置,SHOW_CASE,展示场景,"1. ""选中需要设置字体的文字 点击""""开始""""选项卡 在""""字体""""组中，选择需要的字体（如宋体、黑体等）"" 2. 使用快捷键：Ctrl + Shift + F  ---  【Word】 方法一： 选中需要设置字体的文字 点击""开始""选项卡 在""字体""组中，选择需要的字体（如宋体、黑体等）  方法二： 使用快捷键：Ctrl + Shift + F",Word,文字格式设置,MEDIUM
cmogleq8v001lq18onnqfg7wo,字体颜色,SHOW_CASE,展示场景,"1. ""选中需要设置颜色的文字 点击""""开始""""选项卡 在""""字体""""组中，点击""""字体颜色""""按钮 从颜色选择框中选择需要的颜色""  ---  【Word】 方法一： 选中需要设置颜色的文字 点击""开始""选项卡 在""字体""组中，点击""字体颜色""按钮 从颜色选择框中选择需要的颜色",Word,文字格式设置,MEDIUM
cmogleq3t000dq18o26a3praf,字体颜色设置,SHOW_CASE,展示场景,"1. ""选中文本 在""""开始""""选项卡的""""字体""""组中，点击""""字体颜色""""按钮 从下拉菜单中选择所需颜色""  ---  【PowerPoint】 方法一： 选中文本 在""开始""选项卡的""字体""组中，点击""字体颜色""按钮 从下拉菜单中选择所需颜色",PPT,文字内容编辑,MEDIUM
cmogleq8r001kq18od6rlr8er,字号设置,SHOW_CASE,展示场景,"1. ""选中需要设置字号的文字 点击""""开始""""选项卡 在""""字体""""组中，选择需要的字号（如小四、四号等）"" 2. 使用快捷键：Ctrl + Shift + >（增大字号）或Ctrl + Shift + <（减小字号）  ---  【Word】 方法一： 选中需要设置字号的文字 点击""开始""选项卡 在""字体""组中，选择需要的字号（如小四、四号等）  方法二： 使用快捷键：Ctrl + Shift + >（增大字号）或Ctrl + Shift + <（减小字号）",Word,文字格式设置,MEDIUM
